Internship_ID,Company_Name,,Sector,Area_Field,Internship_Title,Internship_State,Internship_District,Benefits,,Mode,Duration_Months,Stipend_Amount,Required_Skills,Application_Deadline,Company_Description,,,Stipend_Type,Requirement_Contact,Eligibility_Education,Eligibility_Experience,Eligibility_Description,Hiring_Workflow
PMIS-2025-00102,InfraBuild India,,Infrastructure & Construction,Marketing,Data Analyst Intern,Punjab,Ludhiana,Subsidized Meals,,On-site,6,3000,Sales Skills; Chemistry,15-11-2025,Infrastructure and construction solutions across India.,,,Paid,-9759017347,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00103,AutoMotion Ltd,,Automotive,Data Science,Finance Intern,Punjab,Amritsar,Remote Work,,On-site,12,3000,Excel; Research Skills,28-10-2025,Automotive giant specializing in vehicle design and maintenance.,,,Paid,-9751554074,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00104,BankTrust Financial Services,,Banking & Financial Services,Agriculture,Marketing Intern,Gujarat,Ahmedabad,Stipend,,Hybrid,6,5000,Chemistry; Sales Skills; Excel; Networking,19-10-2025,Trusted name in banking and financial consulting.,,,Paid,-9396791120,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00105,ConsultPro India,,Consulting Services,Agriculture,Consulting Intern,Delhi,New Delhi,Subsidized Meals,,Remote,6,8000,Excel; Sales Skills; Writing,24-10-2025,Consulting firm offering business and strategy services.,,,Paid,-9801521454,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00106,Green Energy Corp,,"Oil, Gas & Energy",Information Technology,IT Security Intern,Tamil Nadu,Coimbatore,Transport Allowance,,Hybrid,6,3000,Networking; Data Analysis,14-10-2025,Innovative company in renewable and sustainable energy.,,,Paid,-9105752313,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00107,RetailMart Ltd,,Retail & Consumer Durables,Cyber Security,Research Intern,Gujarat,Surat,Transport Allowance,,Hybrid,3,10000,Communication; Editing; Chemistry,29-10-2025,Retail and consumer durables with nationwide presence.,,,Paid,-9221663051,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00108,MetalMines Ltd,,Metals & Mining,Maintenance,IT Security Intern,Chandigarh,Chandigarh,"Stipend, Meals",,Remote,12,0,Editing; Python; Networking,10-11-2025,Mining and metals extraction with sustainable methods.,,,Unpaid,-9495625551,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00109,TravelEase Pvt Ltd,,Travel & Hospitality,Marketing,Research Intern,Rajasthan,Jaipur,Remote Work,,Remote,3,8000,Editing; Communication; Excel,08-10-2025,Hospitality and travel solutions provider for modern explorers.,,,Paid,-9523980355,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00110,FMCG Fresh,,FMCG,Information Technology,Data Analyst Intern,Chandigarh,Chandigarh,Remote Work,,Hybrid,12,0,Python; Communication; Writing,08-11-2025,Fast-moving consumer goods company with global outreach.,,,Unpaid,-9831911924,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00111,TeleLink Pvt Ltd,,Telecom,Maintenance,Marketing Intern,Karnataka,Mysuru,"Transport Allowance, Subsidized Meals",,Hybrid,12,8000,Excel; Agriculture Basics,17-10-2025,Telecom services leader in rural and urban connectivity.,,,Paid,-9676610161,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00112,TravelEase Pvt Ltd,,Travel & Hospitality,Finance & Accounting,Marketing Intern,Delhi,New Delhi,Stipend,,Hybrid,3,10000,Excel; Research Skills; Electrical Maintenance,04-10-2025,Hospitality and travel solutions provider for modern explorers.,,,Paid,-9739796454,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00113,TeleLink Pvt Ltd,,Telecom,Pharma Research,Consulting Intern,Uttar Pradesh,Lucknow,Subsidized Meals,,On-site,6,3000,Data Analysis; Sales Skills,09-11-2025,Telecom services leader in rural and urban connectivity.,,,Paid,-9560147117,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00114,Green Energy Corp,,"Oil, Gas & Energy",Agriculture,Data Analyst Intern,Karnataka,Bengaluru,"Stipend, Meals",,Remote,12,10000,Communication; Electrical Maintenance,12-11-2025,Innovative company in renewable and sustainable energy.,,,Paid,-9027638473,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00115,FMCG Fresh,,FMCG,Cyber Security,Maintenance Electrical Intern,Gujarat,Bharuch,Transport Allowance,,Hybrid,12,0,Electrical Maintenance; Sales Skills; Chemistry; Editing,06-11-2025,Fast-moving consumer goods company with global outreach.,,,Unpaid,-9727498515,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00116,TeleLink Pvt Ltd,,Telecom,Cyber Security,Marketing Intern,Maharashtra,Mumbai,Transport Allowance,,On-site,6,0,Communication; Chemistry,28-10-2025,Telecom services leader in rural and urban connectivity.,,,Unpaid,-9619350167,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00117,PharmaLife Pvt Ltd,,Pharmaceutical,Renewable Energy R&D,Content Intern,Tamil Nadu,Coimbatore,Stipend,,Hybrid,12,8000,Research Skills; Sales Skills; Chemistry,14-10-2025,Research-driven pharmaceutical and life sciences company.,,,Paid,-9963161142,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00118,MetalMines Ltd,,Metals & Mining,Pharma Research,Field Intern,Karnataka,Mysuru,"Transport Allowance, Subsidized Meals",,On-site,6,0,Chemistry; Editing,02-10-2025,Mining and metals extraction with sustainable methods.,,,Unpaid,-9156063104,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00119,ConsultPro India,,Consulting Services,Information Technology,Marketing Intern,Delhi,New Delhi,"Transport Allowance, Subsidized Meals",,Remote,12,8000,Editing; Research Skills; Data Analysis,23-10-2025,Consulting firm offering business and strategy services.,,,Paid,-9003657320,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00120,AgroAllied Co,,Agriculture & Allied,Data Science,Data Analyst Intern,Karnataka,Mysuru,Stipend,,On-site,12,10000,Networking; Chemistry; Writing; Sales Skills,10-10-2025,Agro company promoting sustainable farming and crop science.,,,Paid,-9945110182,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00121,PharmaLife Pvt Ltd,,Pharmaceutical,Marketing,Content Intern,Karnataka,Bengaluru,Remote Work,,Remote,3,0,Electrical Maintenance; Data Analysis; Editing; Research Skills,05-11-2025,Research-driven pharmaceutical and life sciences company.,,,Unpaid,-9691488437,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00122,ConsultPro India,,Consulting Services,Agriculture,Data Analyst Intern,Karnataka,Mysuru,Transport Allowance,,On-site,12,0,Agriculture Basics; Electrical Maintenance; Writing; Data Analysis,07-10-2025,Consulting firm offering business and strategy services.,,,Unpaid,-9158913263,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00123,HealthCare First,,Healthcare,Data Science,Lab Assistant Intern,Punjab,Amritsar,Remote Work,,Remote,12,10000,Networking; Agriculture Basics; Writing,02-10-2025,Healthcare services provider focused on innovation and care.,,,Paid,-9106406526,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00124,BankTrust Financial Services,,Banking & Financial Services,Data Science,Research Intern,West Bengal,Kolkata,"Transport Allowance, Subsidized Meals",,Hybrid,3,5000,Sales Skills; Writing,10-10-2025,Trusted name in banking and financial consulting.,,,Paid,-9544058745,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00125,TeleLink Pvt Ltd,,Telecom,Consulting,Marketing Intern,Karnataka,Bengaluru,"Transport Allowance, Subsidized Meals",,Hybrid,3,8000,Electrical Maintenance; Data Analysis; Writing; Excel,09-10-2025,Telecom services leader in rural and urban connectivity.,,,Paid,-9673469200,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00126,InfraBuild India,,Infrastructure & Construction,Information Technology,Lab Assistant Intern,West Bengal,Darjeeling,Remote Work,,On-site,3,5000,Writing; Research Skills; Electrical Maintenance; Python,08-10-2025,Infrastructure and construction solutions across India.,,,Paid,-9426901973,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00127,ChemEx Pvt Ltd,,Chemical,Finance & Accounting,Consulting Intern,Delhi,New Delhi,"Transport Allowance, Subsidized Meals",,On-site,3,0,Electrical Maintenance; Sales Skills,17-11-2025,Chemical manufacturing and research for diverse industries.,,,Unpaid,-9326876947,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00128,RetailMart Ltd,,Retail & Consumer Durables,Marketing,IT Security Intern,Chandigarh,Chandigarh,Transport Allowance,,Hybrid,6,0,Agriculture Basics; Communication; Research Skills,19-11-2025,Retail and consumer durables with nationwide presence.,,,Unpaid,-9186332143,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00129,MetalMines Ltd,,Metals & Mining,Maintenance,Data Analyst Intern,Chandigarh,Chandigarh,"Transport Allowance, Subsidized Meals",,Hybrid,3,8000,Research Skills; Electrical Maintenance,05-10-2025,Mining and metals extraction with sustainable methods.,,,Paid,-9952675036,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00130,TeleLink Pvt Ltd,,Telecom,Agriculture,Content Intern,Rajasthan,Jaipur,Stipend,,Remote,6,0,Sales Skills; Agriculture Basics; Electrical Maintenance,12-11-2025,Telecom services leader in rural and urban connectivity.,,,Unpaid,-9540729608,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00131,AeroDefence Systems,,Aviation & Defence,Renewable Energy R&D,IT Security Intern,West Bengal,Darjeeling,Remote Work,,On-site,3,5000,Data Analysis; Communication; Agriculture Basics,19-10-2025,Defence and aviation systems with cutting-edge technology.,,,Paid,-9236456446,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00132,EduMedia Creatives,,"Media, Entertainment & Education",Finance & Accounting,Finance Intern,Rajasthan,Udaipur,Stipend,,Remote,6,5000,Agriculture Basics; Excel,14-10-2025,Content and media company focusing on education and entertainment.,,,Paid,-9834654519,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00133,HealthCare First,,Healthcare,Renewable Energy R&D,Consulting Intern,Chandigarh,Chandigarh,Remote Work,,Hybrid,6,8000,Writing; Data Analysis; Networking; Editing,13-10-2025,Healthcare services provider focused on innovation and care.,,,Paid,-9111008138,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00134,HealthCare First,,Healthcare,Content Creation,Content Intern,Gujarat,Ahmedabad,"Transport Allowance, Subsidized Meals",,Remote,3,5000,Sales Skills; Python; Communication; Research Skills,26-10-2025,Healthcare services provider focused on innovation and care.,,,Paid,-9876303456,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00135,EduMedia Creatives,,"Media, Entertainment & Education",Data Science,Content Intern,Karnataka,Mysuru,Stipend,,Hybrid,6,8000,Chemistry; Editing,07-10-2025,Content and media company focusing on education and entertainment.,,,Paid,-9534068142,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00136,ChemEx Pvt Ltd,,Chemical,Pharma Research,Content Intern,Gujarat,Surat,Subsidized Meals,,Hybrid,3,0,Research Skills; Networking; Sales Skills; Chemistry,03-11-2025,Chemical manufacturing and research for diverse industries.,,,Unpaid,-9426004379,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00137,AeroDefence Systems,,Aviation & Defence,Pharma Research,Consulting Intern,Maharashtra,Mumbai,Stipend,,On-site,3,10000,Research Skills; Electrical Maintenance; Editing,05-11-2025,Defence and aviation systems with cutting-edge technology.,,,Paid,-9800271686,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00138,Green Energy Corp,,"Oil, Gas & Energy",Data Science,Marketing Intern,Karnataka,Bengaluru,Transport Allowance,,Hybrid,6,0,Python; Data Analysis; Communication; Chemistry,15-11-2025,Innovative company in renewable and sustainable energy.,,,Unpaid,-9372124387,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00139,MetalMines Ltd,,Metals & Mining,Maintenance,Sales Intern,Uttar Pradesh,Lucknow,Remote Work,,On-site,12,0,Excel; Communication; Sales Skills; Networking,29-10-2025,Mining and metals extraction with sustainable methods.,,,Unpaid,-9176151317,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00140,BankTrust Financial Services,,Banking & Financial Services,Marketing,Research Intern,Punjab,Ludhiana,Remote Work,,Remote,12,8000,Research Skills; Data Analysis; Networking,18-10-2025,Trusted name in banking and financial consulting.,,,Paid,-9401367221,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00141,AeroDefence Systems,,Aviation & Defence,Marketing,Maintenance Electrical Intern,Delhi,New Delhi,Stipend,,On-site,3,10000,Data Analysis; Writing,20-11-2025,Defence and aviation systems with cutting-edge technology.,,,Paid,-9844954810,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00142,ConsultPro India,,Consulting Services,Consulting,Research Intern,Delhi,New Delhi,Subsidized Meals,,On-site,12,3000,Python; Chemistry,09-11-2025,Consulting firm offering business and strategy services.,,,Paid,-9893793229,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00143,EduMedia Creatives,,"Media, Entertainment & Education",Information Technology,Data Analyst Intern,Chandigarh,Chandigarh,Remote Work,,Remote,6,3000,Editing; Sales Skills; Agriculture Basics; Chemistry,12-10-2025,Content and media company focusing on education and entertainment.,,,Paid,-9835254956,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00144,TeleLink Pvt Ltd,,Telecom,Maintenance,Lab Assistant Intern,Punjab,Ludhiana,Remote Work,,On-site,12,10000,Communication; Networking; Sales Skills,24-10-2025,Telecom services leader in rural and urban connectivity.,,,Paid,-9593866198,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00145,InfraBuild India,,Infrastructure & Construction,Maintenance,Sales Intern,Rajasthan,Jaipur,"Stipend, Meals",,On-site,3,5000,Agriculture Basics; Data Analysis,18-10-2025,Infrastructure and construction solutions across India.,,,Paid,-9558852804,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00146,ConsultPro India,,Consulting Services,Maintenance,Consulting Intern,Karnataka,Mysuru,Stipend,,Hybrid,3,0,Agriculture Basics; Networking,15-10-2025,Consulting firm offering business and strategy services.,,,Unpaid,-9597559898,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00147,InfoTech Solutions Pvt Ltd,,IT & Software Development,Agriculture,Research Intern,Uttar Pradesh,Varanasi,"Transport Allowance, Subsidized Meals",,On-site,12,8000,Sales Skills; Agriculture Basics,15-11-2025,Leading IT services and cybersecurity solutions provider.,,,Paid,-9811136975,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00148,InfraBuild India,,Infrastructure & Construction,Pharma Research,Field Intern,West Bengal,Darjeeling,Stipend,,On-site,12,3000,Electrical Maintenance; Networking; Agriculture Basics; Sales Skills,10-10-2025,Infrastructure and construction solutions across India.,,,Paid,-9386640981,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00149,HealthCare First,,Healthcare,Data Science,Research Intern,Karnataka,Bengaluru,Stipend,,Remote,3,5000,Agriculture Basics; Networking; Sales Skills,05-11-2025,Healthcare services provider focused on innovation and care.,,,Paid,-9249405662,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00150,TravelEase Pvt Ltd,,Travel & Hospitality,Pharma Research,Data Analyst Intern,West Bengal,Kolkata,Remote Work,,Hybrid,6,10000,Sales Skills; Communication; Research Skills,02-10-2025,Hospitality and travel solutions provider for modern explorers.,,,Paid,-9655894544,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00151,AeroDefence Systems,,Aviation & Defence,Maintenance,Sales Intern,Gujarat,Surat,Remote Work,,Hybrid,3,5000,Research Skills; Networking,06-10-2025,Defence and aviation systems with cutting-edge technology.,,,Paid,-9583466056,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00152,AutoMotion Ltd,,Automotive,Marketing,IT Security Intern,Rajasthan,Udaipur,"Transport Allowance, Subsidized Meals",,Hybrid,3,3000,Research Skills; Writing; Excel; Data Analysis,02-10-2025,Automotive giant specializing in vehicle design and maintenance.,,,Paid,-9762976265,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00153,AgroAllied Co,,Agriculture & Allied,Agriculture,Field Intern,Maharashtra,Mumbai,Transport Allowance,,Hybrid,3,0,Data Analysis; Chemistry; Research Skills; Sales Skills,17-10-2025,Agro company promoting sustainable farming and crop science.,,,Unpaid,-9973472041,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00154,ChemEx Pvt Ltd,,Chemical,Consulting,Field Intern,Delhi,New Delhi,Subsidized Meals,,Hybrid,6,3000,Networking; Excel,18-10-2025,Chemical manufacturing and research for diverse industries.,,,Paid,-9072528238,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00155,HealthCare First,,Healthcare,Finance & Accounting,Research Intern,Punjab,Ludhiana,Transport Allowance,,On-site,6,5000,Communication; Data Analysis,28-10-2025,Healthcare services provider focused on innovation and care.,,,Paid,-9547798172,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00156,InfoTech Solutions Pvt Ltd,,IT & Software Development,Information Technology,Content Intern,Punjab,Ludhiana,"Transport Allowance, Subsidized Meals",,Hybrid,6,10000,Agriculture Basics; Communication,05-11-2025,Leading IT services and cybersecurity solutions provider.,,,Paid,-9114372343,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00157,EduMedia Creatives,,"Media, Entertainment & Education",Agriculture,Finance Intern,Gujarat,Bharuch,"Transport Allowance, Subsidized Meals",,On-site,3,0,Writing; Sales Skills,10-10-2025,Content and media company focusing on education and entertainment.,,,Unpaid,-9441494269,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00158,AgroAllied Co,,Agriculture & Allied,Cyber Security,Maintenance Electrical Intern,West Bengal,Darjeeling,Subsidized Meals,,Hybrid,6,8000,Chemistry; Data Analysis; Communication; Sales Skills,20-10-2025,Agro company promoting sustainable farming and crop science.,,,Paid,-9256542110,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
PMIS-2025-00159,FMCG Fresh,,FMCG,Finance & Accounting,Content Intern,Punjab,Amritsar,Subsidized Meals,,On-site,6,0,Research Skills; Data Analysis,16-11-2025,Fast-moving consumer goods company with global outreach.,,,Unpaid,-9007749704,B.Pharm/M.Pharm or Life Sciences,Internship/Project in Pharma,"Students should have pharmaceutical knowledge, research ability, and excellent report writing skills.",Application → Written Test → Technical Interview → HR Round → Selection
PMIS-2025-00160,InfraBuild India,,Infrastructure & Construction,Agriculture,Data Analyst Intern,Gujarat,Bharuch,Subsidized Meals,,On-site,6,8000,Data Analysis; Sales Skills,13-11-2025,Infrastructure and construction solutions across India.,,,Paid,-9235566318,B.Tech/BCA in Computer Science,Basic knowledge in IT Security,"Candidates must understand IT infrastructure, cybersecurity basics, and teamwork abilities.",Application → Online Test → Technical Interview → HR Interview → Selection
PMIS-2025-00161,HealthCare First,,Healthcare,Maintenance,Research Intern,West Bengal,Darjeeling,Remote Work,,Remote,12,5000,Chemistry; Research Skills,10-10-2025,Healthcare services provider focused on innovation and care.,,,Paid,-9129641581,B.Tech in CS/IT or related field,Fresher or up to 1 year,"Candidates should possess strong analytical skills, programming knowledge, and effective communication.",Application → Screening → Technical Test → HR Interview → Selection
PMIS-2025-00162,TeleLink Pvt Ltd,,Telecom,Data Science,Data Analyst Intern,West Bengal,Kolkata,"Stipend, Meals",,On-site,3,8000,Excel; Python,18-11-2025,Telecom services leader in rural and urban connectivity.,,,Paid,-9183391969,B.Sc/M.Sc in Mining or Metallurgy,Fresher or up to 6 months,"Applicants must demonstrate understanding of mining processes, safety standards, and basic programming knowledge.",Application → Resume Shortlisting → Technical Interview → Final Round → Selection
PMIS-2025-00163,AutoMotion Ltd,,Automotive,Renewable Energy R&D,Content Intern,West Bengal,Kolkata,Stipend,,Remote,3,8000,Excel; Chemistry; Research Skills; Python,01-10-2025,Automotive giant specializing in vehicle design and maintenance.,,,Paid,-9282449279,BBA/MBA in Marketing or related field,0-1 year in Marketing/Data,"Individuals must be creative, data-driven, and skilled in marketing strategies and analytics tools.",Application → Aptitude Test → Technical Interview → HR Interview → Offer
